Data	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)	VENTO VELOCIDADE (m/s)
08-abr-2009	4,1	4,1	4,3	4,5	4,4	3,9	4	3,1	2,2	1,2	1,6	2,5	3,1	2,9	3,1	3,3	3,8	4,4	5,8	6	5,4	5,6	4,8	5,9
09-abr-2009	6,4	6,5	6,3	5	4,9	4,6	4,8	3,9	3,3	0,8	1,6	1,9	1,9	2,4	1,9	2,4	2,7	3	4,7	4,7	4	2,9	4	3,5
10-abr-2009	3,9	3,3	4,3	3,4	3,4	3	3,7	4	5,3	4,4	5,1	5,9	6,6	7,7	8,6	7,6	9,3	8,1	8,4	7,3	5,7	3,7	3	3
11-abr-2009	1,7	2	1,7	2,1	1,6	1,4	1,8	1,4	1,1	1,3	2	1,8	2,6	4,3	4,9	4,8	4,4	4	3,4	4	3	1,4	0,9	1,9
12-abr-2009	1,8	1,1	0,1	1,3	2	2	0,8	2,6	1,3	0	0	0	2	2,6	3,2	4,5	5,5	7,1	7,9	8,3	8,9	8,5	8,7	8,6
13-abr-2009	7,4	8,1	8,2	9	9,4	9,9	9	9,1	7,3	5,5	5,9	5	4,4	4,1	4	3,8	4,6	4,2	4,5	3,9	3,7	3,1	3,2	2,7
14-abr-2009	2,4	2	0,5	0,7	1,9	3,5	3,6	1,7	2,6	2,7	3,6	3,9	4,4	4,5	4,8	6,8	8,5	6,8	8,1	7,7	7,7	7,3	6,7	6,7
15-abr-2009	5,2	3	3	2,4	2,3	2,3	2,4	2,5	2,6	2,7	2,3	2,7	3,1	2,3	4,2	2,9	3,4	3,8	3,9	3,7	3,6	4,1	3,5	3,6
16-abr-2009	4,3	4,8	5,2	5	5	5,9	5,4	4,3	3,2	1,4	0,7	0,8	2,7	3,4	4,4	5,4	5,8	6,4	6,2	6,4	6,8	6,6	7,4	7,5
17-abr-2009	7,7	6	6,7	5	7,7	7,7	7,2	3,9	6,6	4,5	4,2	3,7	4,1	5,2	4,8	5,7	5,7	5,3	6,2	6,1	6	5,7	5,7	5,7
